Net size;Epsilon;Max;Average;Iterations;Time
50;0.1;24.196943;9.406749;909.0;0.0071975
50;0.01;2.418075;0.94004;1469.0;0.011261
50;0.001;0.242578;0.094303;2028.0;0.0152625
100;0.1;98.645808;39.129181;2285.0;0.057452
100;0.01;9.915829;3.937575;4566.0;0.114242
100;0.001;0.991814;0.393849;6852.0;0.1709095
200;0.1;346.344289;134.69887;4262.0;0.42137199999999997
200;0.01;40.101595;16.088222;12779.0;1.26329
200;0.001;4.011018;1.609269;22017.0;2.1735689999999996
500;0.1;943.239559;335.139297;6810.0;4.3445415
500;0.01;236.110722;94.066595;35723.0;23.0633995
500;0.001;25.225427;10.182324;91802.0;59.3784275
1000;0.1;1495.902035;480.003301;8527.0;27.8870355
1000;0.01;629.86212;235.959289;54281.0;178.85708
1000;0.001;100.409029;40.559177;228056.0;709.59011
